"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"육아","돌봄지원"," ","양육비 이행 원스톱 종합서비스 취약계층 지원","(「양육비 이행확보 및 지원에 관한 법률」에 따른 미성년 자녀를 직접 양육하고 있는 한부모, 조손가족, 기타 실질적 양육자,「한부모가족지원법」에 따른 자녀* 양육 한부모?조손가족/비양육 부?모로부터 양육비를 지급받을 수 있도록 상담에서 협의, 소송, 채권추심, 사후 이행 모니터링까지 맞춤형 종합서비스를 제공)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","돌봄지원"," ","돌봄SOS 사업 취약계층 운영","(돌봄이 필요한 시민/돌봄SOS 제공 서비스- 5대 단기 돌봄서비스 : 일시재가, 단기시설, 동행지원, 주거편의, 식사배달)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","생활지원"," ","미성년 미혼한부모 지원사업","(대한민국 국적의 만 22세 이하 미혼 한부모 및 임산부/매월 생활비 50만원 지원)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"출산","돌봄지원"," ","장애인가정 홈헬퍼 지원","(서울시에 거주하는 장애인복지법상 등록장애인으로 임신 및 출산 예정 또는 만 9세 미만 자녀를 양육하고 있는 장애인 가구 중 기준 중위소득 120%이하 가정/ 장애인 가정의 임신, 출산, 자녀 양육 지원을 위한 홈헬퍼 무료 파견)","","","","안심돌봄120","연령무관","출산 - 돌봄지원","서울시",".","."
"결혼","주거지원"," ","신혼부부 임차보증금 이자 지원","- 임차보증금 대출금: 최대 3억원(임차보증금의 90% 이내) - 이자지원 금리: 최대 4.5% - 지원기간: 최장 10년(25.11.20. 부터 최장 12년) ※ 자세한 사항은 서울주거포털 공고문 참조","- 대출신청일로부터 혼인신고일 기준 7년 이내 신혼부부 혹은 6개월 이내 결혼(혼인신고) 예정인 예비신혼부부 - 부부합산 연소득 1억3천만원 이하인 자 - 본인 및 배우자 무주택자","- 서울주거포털에 접속하여 대출 추천서 발급 신청","","서울시 전월세종합지원센터 연락처 02-2133-1200~8","연령무관","결혼 - 주거지원","서울시","https://housing.seoul.go.kr/site/main/content/sh01_0400800","."
"출산","건강지원"," ","이주여성 건강관리 지원 (구)다문화가족 출산 전후 돌봄서비스","(임신출산한 결혼이주여성, 배우자, 시부모 등 외국인주민 및 다문화가족/의료통역 지원, 출산교실 운영, 결혼이주여성 건강점진 지원, 우울선별검사/심리정서지원, 멘토링 서비스 제공 등)","","","","한림대학교 강남성심병원","연령무관","출산 - 건강지원","서울시",".","."
"육아","교육지원"," ","다문화가족 방문교육서비스 취약계층  지원","(결혼이민자, 중도입국자녀 연령 지원사업별 상이/방문 한국어교육 서비스,방문 부모교육서비스,자녀생활서비스/정부24,패밀리넷,다문화가족지원센터 신청/다누리콜센터 1577-1366)","","","","가족센터 다문화가족지원포털","연령무관","육아 - 교육지원","서울시",".","."
"결혼","결혼지원"," ","청년 1인가구 소셜다이닝, 건강한 밥상(사업종료)","청년 1인가구 대상 조리도구 사용법, 재료 고르는 법 등 기초 중심의 요리교실 및 소통 프로그램 운영 ㅁ 운영자치구 : 동대문구, 은평구, 금천구, 영등포구, 강동구    ※ 타자치구 거주자도 신청 가능합니다.","서울시 거주 또는 생활권인 청년(19~39세) 1인가구","온라인 신청    - 서울시 1인가구 포털(1in.seoul.go.kr) > 지원사업 신청 > '건강한 밥상' 조회 후 원하는 프로그램 선택하여 신청","","자치구별 담당부서    - 동대문구 : 070-7459-3301    - 은평구 : 070-7492-7903    - 금천구 : 02-2627-1467      - 영등포구 : 02-2670-1650    - 강동구 : 02-479-1179","연령무관","결혼 - 결혼지원","서울시",".","."
"육아","돌봄지원"," ","영유아보육료 지원","O 지원 보육료  - 0세반 : (기본보육) 567,000원 / (야간) 567,000원 / (24시) 850,000원 - 1세반 :  (기본보육) 500,000원 / (야간) 500,000원 / (24시) 750,000원 - 2세반 :  (기본보육) 414,000원 / (야간) 414,000원 / (24시) 621,000원 - 3~5세반 :  (기본보육) 280,000원 / (야간) 280,000원 / (24시) 420,000원","어린이집을 이용하는 0~5세 아동의 보육료 지원","동 주민센터, 복지로에서 신청","기본보육: 9:00~16:00 연장보육: 16:00~19:30","교육부 콜센터(02-6222-6060)","연령무관","육아 - 돌봄지원","서울시","https://www.easylaw.go.kr/CSP/CnpClsMainBtr.laf?csmSeq=626&ccfNo=2&cciNo=3&cnpClsNo=1","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003250"
"임신","건강지원"," ","임산부 외래진료비 본인부담금 경감","임신기간 중 외래진료 시 본인부담금 일부 경감","임산부","","","자동적용","연령무관","임신 - 건강지원","서울시",".","."
"출산","교육지원"," ","보건소 임신?출산?육아 교육 프로그램","임신?출산?육아 관련 보건소 맞춤형 교육 프로그램 무료 운영","임신 준비 가구, 임산부 및 출산 가구","","","서울시 임신출산 정보센터","연령무관","출산 - 교육지원","서울시",".","."
"출산","건강지원"," ","산모?신생아 건강관리 지원사업","산모?신생아 건강관리 서비스 및 정부지원금 바우처 제공","출산 가정(소득 요건 충족자)","","","복지로","연령무관","출산 - 건강지원","서울시",".","."
"육아","교육지원"," ","다문화가족 방문교육서비스 취약계층 지원","( 최초 입국 5년 이하 결혼이민자, 중도입국자녀/생활언어를 익히고 문화를 이해할 수 있도록 체계적, 단계적 한국어교육서비스 제공(1~4단계))","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","교육지원"," ","다문화가족 자녀 언어발달 지원서비스 취약계층 지원","(언어평가 및 언어교육이 필요한 만12세 이하 다문화 가족 자녀/다문화 가족 자녀의 언어발달 상태 평가, 의사소통에 어려움을 가진 아동에게 적절한 언어교육 지원/다문화가족지원센터 방문신청/다누리콜센터 1577-1366)","","","","다문화가족지원포털","연령무관","육아 - 교육지원","서울시",".","."
"육아","교육지원"," ","저소득 다문화 자녀 교육활동비 지원","(교육급여(중위소득 50%)를 받지 않는 기준중위소득 100% 이하 다문화가족의 7~18세 자녀/초등학생: 연 40만 원,중학생: 연 50만 원, 고등학생: 연 60만 원/다문화가족지원센터 방문신청 및 NH농협카드 적립금 포인트 지급)","","","","다문화가족지원포털","연령무관","육아 - 교육지원","서울시",".","."
"육아","건강지원"," ","아동 입원진료비 지원","입원진료비 본인부담금 경감(신생아 0%, 15세 이하 5%)","만 15세 이하 아동","","","자동 적용","연령무관","육아 - 건강지원","서울시",".","."
"육아","건강지원"," ","선천성 대사이상 의료비 지원","치료 관련 진료비?약제비?검사비 지원(연 250만원 한도)","선천성 대사이상으로 진단된 만 19세 미만 환아","","","e보건소","연령무관","육아 - 건강지원","서울시",".","."
"육아","교육지원"," ","다문화가족지원센터 이용 취약계층 지원","(다문화가족/기본사업(상담, 교육 등): 다문화가족 의사소통 및 가족관계 향상, 다문화 이해교육, 성평등?인권교육, 가족상담 등 분야별 교육 및 상담 운영)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"출산","돌봄지원"," ","1인 자영업자 등 임산부 출산급여 지원","1인 자영업자 등 임산부 출산급여  90만원 지원 - 1인당 출산급여 240만원 보장 = <고용노동부>고용보험 미적용자 출산급여 150만원 지원 + <서울시> 90만원 지원(※ 다태아 170만원)  유?사산 산모는 임신기간에 따라 아래와 같이 차등지원  - (임신기간 ~ 15주) 단태아 18만원 다태아 66만원 - (임신기간 16주~21주) 단태아 30만원 다태아 110만원 - (임신기간 22주~27주) 단태아 60만원 다태아 140만원 - (임신기간 28주 이상) 단태아 90만원 다태아 170만원","지원대상 출산(유?사산)한 1인 자영업자 및 프리랜서 등 임산부  자격요건 ① 고용노동부 ‘고용보험 미적용자 출산급여’ 수혜자 ② 신청일 기준 서울시 거주 및 자녀 서울시 출생신고 ③ 출산일로부터 1년 이내 신청  준비서류 ① 고용보험 미적용자 출산급여 지급결정통지서(직인 포함) 필수  ※ 발급방법 (문의 대표전화 국번없이 1350)   - 고용24(https://work24.go.kr) 인터넷 발급   * 고용24 마이페이지 → 1. 민원신청 현황 조회 클릭 → 2. 급여신청서 상세화면에서 스크롤 내리기 →  3. 하단 화면에서 통지서 출력 버튼 클릭  - 관할관서 방문 ★ 관서 찾기 https://www.moel.go.kr/minwon/rigion/rigion_C1.do  　  ② 가족관계증명서 ※ 발급방법   - 전자가족관계등록시스템 인터넷 무료발급 https://efamily.scourt.go.kr   처리기간 : 14일(지급결정 후 급여 지급일 개별안내)","탄생육아 몽땅정보통 온라인 신청만 가능  ※ 유의사항  부정수급 모니터링(고용노동부 고용보험 미적용자 출산급여 수혜자 대상) ① (고용노동부) 거짓이나 그 밖의 부정한 방법으로 고용보험 미적용자 출산급여를 청구?지급받은 경우 제제부가금 부과?징수 등 공공재정환수법에 따라 환수 ② (서울특별시) 고용노동부 고용보험 미적용자 출산급여를 부정수급한 경우 제제부가금 부과?징수 등 공공재정환수법에 따라 환수  <span	class='color_blue'> ※ 서울시 1인 자영업자 등 임산부 출산급여를 거짓이나, 그밖의 부정한 방법으로 지급 받았거나 지급 받으려 하는 등 부정 수급 행위가 확인 된 경우  「공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률」에 의거하여 지급된 급여가 환수 될 수 있으며 최대 5배의 제재부가금이 부과될수 있습니다.</span>","","① 다산콜센터(02-120) ② 접수 및 지급관련 문의 1	강남구	보육지원과	02-3423-5857 2	강동구	가족정책과	02-3425-5785 3	강북구	여성가족과	02-901-6705 4	강서구	출산보육과	02-2600-6771 5	관악구	성평등가족과	02-879-6132 6	광진구	가정복지과	02-450-7568 7	구로구	가족보육과	02-860-3016 8	금천구	가족정책과	02-2627-1417 9	노원구	보육가족과	02-2116-3722 10	도봉구	가족정책과	02-2091-3143 11	동대문구	가족정책과	02-2127-4254 12	동작구	영유아보육과	02-820-9234 13	마포구	건강동행과	02-3153-9072 14	서대문구	가족정책과	02-330-3841 15	서초구	여성보육과	02-2155-6717 16	성동구	성평등가족과	02-2286-6877 17	성북구	여성가족과	02-2241-2586 18	송파구	여성보육과	02-2147-2791 19	영등포구	보육지원과	02-2670-3362 20	양천구	보육정책과	02-2620-4835 21	용산구	가족정책과	02-2199-7176 22	은평구	가족정책과	02-351-6222 23	종로구	아동복지과	02-2148-2992 24	중구	       가족정책과	02-3396-5434 25	중랑구	보육지원과	02-2094-1793","연령무관","출산 - 돌봄지원","서울시",".","https://umppa.seoul.go.kr/hmpg/self/preg/appl/applSelfRegistForm.do"
"육아","생활지원"," ","발달장애인 부모상담지원 사업","(?장애인복지법?상 지적?자폐성 장애인으로 등록된 자녀의 부모 및 보호자/발달장애인 부모에게 상담(개별/집단)지원)","","","","보건복지부 장애인서비스과","연령무관","육아 - 생활지원","서울시",".","."
"육아","건강지원"," ","미숙아 및 선천성이상아 의료비 지원","(입원 치료가 필요한 미숙아 및 선천성이상아 (*’24년부터 가구 소득과 관계없이 지원)/의료비의 건강보험 급여 중 전액본인부담금 및 비급여 진료비 미숙아:최고 1,000만원, 선천성이상아 최고 500만원)","","","","보건복지부 출산정책과","연령무관","육아 - 건강지원","서울시",".","."
"육아","생활지원"," ","사회적 배려대상자 도시가스요금 경감","(취약계층/동절기(12, 1~3월) 월 최대 18,000원~148,000원(단, 에너지바우처 대상자의 경우 월 최대 86,000원) 및 기타월(4~11월) 2,470~9,900원 (지원자격에 따라 상이))","","","","한국가스공사/관할 지자체","연령무관","육아 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","시간제 보육 (정부형)","만6개월~36개월 부모급여 또는 양육수당 수급 아동대상 시간제보육 지원","만6개월~36개월 미만 아동","시간제 보육 아동으로 임신육아종합포털 아이사랑(보건복지부) www.childcare.go.kr 사전등록 후 사전예약 또는 당일 신청","09:00~18:00","서울시육아종합지원센터(02-772-9814~9)","연령무관","육아 - 돌봄지원","서울시","https://www.childcare.go.kr/","https://www.childcare.go.kr/"
"결혼","주거지원"," ","미리내집 장기전세주택 II","장기전세주택 공급(최장 20년), 2자녀 이상 출산 시 우선매수권 및 매입가 인센티브 제공","무주택 세대구성원 신혼부부(무자녀?유자녀 포함)","","","SH인터넷청약시스템","연령무관","결혼 - 주거지원","서울시",".","."
"결혼","주거지원"," ","행복주택","시중 시세의 60~80% 수준 임대주택 공급, 최대 10년 거주 가능","신혼부부(혼인 7년 이내 또는 6세 이하 자녀), 예비신혼부부, 한부모가족 등","","","LH청약센터, SH인터넷청약시스템","연령무관","결혼 - 주거지원","서울시",".","."
"임신","생활지원"," ","맘편한 임신 원스톱서비스(표준모자보건수첩 제공)","표준모자보건수첩 제공","임산부","","","정부24, 관할 보건소","연령무관","임신 - 생활지원","서울시",".","."
"임신","생활지원"," ","맘편한 KTX?SRT 임산부 할인","KTX?SRT 철도요금 임산부 할인","임산부 및 동반 보호자 1인","","","코레일","연령무관","임신 - 생활지원","서울시",".","."
"출산","건강지원"," ","조산아 및 저체중 출생아 외래진료비 본인부담금 경감","외래진료 시 요양급여 본인부담률 5% 적용","조산아 또는 저체중 출생아","","","국민건강보험공단","연령무관","출산 - 건강지원","서울시",".","."
"육아","교육지원"," ","장애학생 정보격차 해소 지원","(「장애인 등에 대한 특수교육법」에 따른 특수교육대상자의 특수학교 및 특수학급 교사, 일반학교 교사/특수교육 교수-학습 콘텐츠를 개발하여 사이트 운영)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","건강지원"," ","(특수교육대상자) 치료지원서비스 취약계층 지원","(특수교육대상자 중 치료지원대상자로 선정된 사람을 지원/치료사 채용, 바우처, 치료지원 제공기관(병?의원, 장애인복지관, 사설치료실 등)을 통해 물리치료, 작업치료 등의 서비스를 제공)","","","","","연령무관","육아 - 건강지원","서울시",".","."
"육아","생활지원"," ","성폭력, 아동학대, 인신매매등범죄의 피해 아동과 범죄 피해자인 장애인을 위한 진술조력인 지원","(성폭력?아동학대?인신매매등범죄 피해자중 만 19세 미만 아동이거나 범죄 피해자인 장애인/피해자사전평가,조사 또는 증언방법 논의, 의사소통중개,진술조력인 보고서제출)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","생활지원"," ","한부모무료법률구조","(기준중위소득 125%이하의 한부모가족 또는 미혼부/법적 분쟁 발생 시 무료법률구조를 통해 정당하게 권리구제를 받을 수 있도록 소송비용 등 지원)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","생활지원"," ","무료 소송대리 서비스(취약계층 한부모가족)","( 건강보험료 본인부담금 합산액이 기준중위소득 125% 이하인 자  - 취약계층 한부모가족/사회?경제적 약자에 대한 법률구조서비스 제공으로 법률복지증진)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","방과후보육료 취약계층 지원","(차상위 이하 12세 이하 초등학교 취학아동 및 장애아동/ 방과후에 어린이집을 일일 4시간 이상 이용하는 경우 일반아동 월 10만원 지원,장애아동 293,000원 지원, 방학 중 종일제보육 실시 시 일반아동 월 20만원, 장애아동 보육료 100% 지원/주민센터 또는 복지로 온라인 신청)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"출산","생활지원"," ","한부모가족 꿈틀박스(출산 축하 성장 용품 지원) 지원","(서울시 거주 임신 6개월 ~ 출산 12개월 이내 한부모 또는 미혼모부)","","","","서울특별시 한부모가족지원센터","연령무관","출산 - 생활지원","서울시",".","."
"출산","건강지원"," ","고위험 임산부 의료비 취약계층 지원","(19대 고위험 임신질환으로 진단받고 입원치료 받은 임산부/ 고위험 임산부 입원치료비의 건강보험 급여 중 전액본인부담금 및 비급여 진료비에 해당하는 금액의 90% 지원)","","","","보건복지부 출산정책과","연령무관","출산 - 건강지원","서울시",".","."
"육아","돌봄지원"," ","소상공인 민간 아이돌봄 지원","? 지원대상   - 서울시 소상공인(사업주, 상시근로자) 및 워라밸 포인트제 기업(진입형, 성장형, 선도형) 상시근로자 중 3개월 ~ 12세 이하 아동 양육가정(자녀 최대 2명)  ※ 서울시 워라밸 포인트제 기업이나 해당 유형을 모를 경우 회사 내 인사팀 또는 인사 담당자 문의 필수   ? 자격요건  - 신청일 기준 영업지(근무지)와 거주 주소가 모두 서울 소재  - 신청인(부 또는 모)과 자녀가 주민등록상 동일 주소지 거주  - 자녀의 출생년도는 2013.3.1. ~ 2025.12.31. 사이에 해당  ※ 지원 제외요건   ① ’24~’25년 소상공인 민간아이돌봄서비스 동일사업 수혜자(단, 선정 후 이용 이력이 없는 경우 가능)   ② 제외업종: 유흥업소 등 중소기업벤처기업부 융자 제한업종   ※ 타시도 전출시는 선정되어도 서비스 자동 종료, 매월 확인  ? 지원내용  - 선정된 민간아이돌봄서비스 제공기관에서 아이돌봄서비스 이용시 본인부담금의 2/3 지원(1/3은 본인부담)  - 지원한도 아동 1인당 최대 360만원(아동 2인 최대 540만원) 이용권 지원  ※ 제공기관의 돌보미가 이용자 가정을 방문하여 아이돌봄서비스 제공  ※ 현금으로 직접 지급되지 않으며, 지원금은 업체에 정산금으로 지급됨  ※ 서울형 손주돌봄수당서비스와 중복지원되지 않음(매월 확인 후 중복 발견 시 환수)  ? 지원서비스: 주간돌봄(06~22시) 및 심야돌봄(22시~다음날 06시) 서비스  1) 주간돌봄서비스: 등하원 동행, 준비된 식사 및 간식챙겨주기, 재우기/ 깨우기, 위생관리, 돌봄 후 뒷정리, 실내놀이, 아이돌봄에 수반되는 가사 포함   2) 심야돌봄서비스(24개월이상~12세)준비된 식사 및 간식 챙겨주기, 재우기/깨우기, 수면?야간 생활관리 등  ※ 제공 서비스는 선정된 업체별 상이할 수 있음. 대상자 선정후 추후 고지 예정(4월중) ※ 추후 공지되는 업체별 제공 서비스 외 이용시, 비용발생분 100% 자부담 ※ 심야돌봄 서비스를 본인부담금 할증없이 이용을 희망하는 경우, 심야돌봄서비스 운영기관으로 선정된 업체 선택 필수   ? 구비서류  (신청일 기준 1개월 이내 발급분만 유효, 소상공인확인서는 확인서 기간이 유효해야함)   - 소상공인사업주: 주민등록등본, 사업자등록증명원, 소상공인확인서  - 소상공인 상시근로자: 주민등록등본, 건강보험자격득실확인서, 소상공인확인서  - 워라밸 포인트제 기업 상시근로자: 주민등록등본, 재직증명서   ※ 신청인이 세대주가 아닐 경우 가족관계증명서, 외국인의 경우 외국인등록사실증명원(결혼이민서류 등) 추가 제출 필요  <구비서류 발급방법>  제출해야하는 서류 1) 소상공인 확인서 발급   중소기업현황 정보시스템 ? 홈페이지 상단 [중소기업확인서 발급신청]    ? 신청서 작성 ☎1811-6508  ※ 확인서 내 기간이 유효해야하며 착한 임대인 세액공제 확인서는 인정 불가  ※ 기타 서류는 필수서류로 법적 자녀관계 및 혼인관계 확인이 불가할 경우에 제출  ※ 모든 서류는 신청일 기준 1개월 이내 발급받은 서류로 제출 필수(유효기간 확인 필수) 2) 재직증명서 : 소속회사 발급(직인날인 필수) 3) 가족관계증명서: 등본으로 아동과의 관계가 어려운경우, 다문화가족의 경우   제출하지 않아도 되는 서류 - 주민등록등초본, 건강보험 자격득실확인서, 사업자등록증명원","서울시 소상공인(사업주, 상시근로자) 및 워라밸 포인트제 기업(진입형, 성장형,선도형) 상시근로자 중 3개월 ~ 12세 이하 아동 양육가정(자녀 최대 2명)으로 서비스 신청 후 자격검증을 거쳐 대상자로 확정된 후 이용 가능","? 대상자 선정 후 ‘몽땅정보통’에서 돌보미 매칭된 제공기관 1개 선택, 확정 통보 후 서비스 이용가능하며 ‘확정 통보 전 이용금액’에 대해서는 지원하지 않음에 유의  <선정된 민간아이돌봄서비스 제공기관은, 대상자 선정 후 공지 예정> ? 업체는 선택 후 3번 변경 가능","","? 서울시여성가족재단 연락처 : 02-3280-0312  이메일 : ssgong@seoulwomen.or.kr","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","생활지원"," ","언어발달 취약계층 지원 사업","(만 12세 미만 비장애아동(한쪽부모 및 조손가정의 한쪽 조부모가 시각?청각?언어?지적?자폐성?뇌병변 등록장애인), 기준중위소득 120% 이하(소득별 차등지원)/ 기초생활수급자: 월22만원 (본인부담금 면제) 차상위 계층: 월20만원(본인부담금 2만원) 차상위 초과 기준 중위소득 65%이하: 월 18만원(본인부담금 4만원) 기준 중위소득 65% 초과 120% 이하 : 월 16만원(본인부담금 6만원)주민센터, 복지로 온라인 신청)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","장애아가족양육 취약계층 지원","(만 18세 미만의 장애정도가 심한 장애아동을 양육하는 가정을 지원/1아동당 연 1,080시간 범위 내 돌봄서비스, 휴식지원프로그램을 지원,* 1,080시간 초과 시 전액 본인부담으로 이용 가능, 서비스 제공은 월 160시간 이내 사용 가능)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","교육지원"," ","교육급여(맞춤형 급여) 취약계층 지원","(다음 각 호의 학교 또는 시설에 입학 또는 재학하는 기초생활보장 수급자/교육활동지원비,입학금 및 수업료,교과서)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","건강지원"," ","저소득층 아동보험(한부모가정 의료보험) 지원","(한부모가구 아동양육비 지원대상자 이면서 생계 및 의료급여 대상자가 아닌자/아동양육비를 지원받는 한부모가족의 아동과 부양자를 대상으로 단체보장성 보험혜택 지원)","","","","서민금융진흥원","연령무관","육아 - 건강지원","서울시",".","."
"육아","건강지원"," ","장애입양아동 의료비지원","(장애아동 양육보조금 지급대상자로 결정된 아동에게 지원/연간 260만원 한도내에서 본인이 부담한 진료 상담 재활 및 치료(심리치료 포함)에 소요되는 비용(급여 및 비급여부분 포함)을 지원)","","","","","연령무관","육아 - 건강지원","서울시",".","."
"육아","생활지원"," ","장애인활동지원","(6세 이상 ~ 64세 등록장애인 중 활동지원 서비스지원 종합조사 결과 활동지원등급 판정을 받은 사람/신변처리 지원, 가사지원, 일상생활 지원, 외출/이동/보조 등 활동 지원 및 방문목욕, 방문간호 서비스를 제공, 서비스 대상자에게는 인정등급에 해당되는 만큼의 매월 일정액의 바우처를 지원, 매월 일정액의 본인부담금 납부 후 바우처 지원액 사용이 가능)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","교육지원"," ","국가보훈대상자 학습보조비 지급","( 중?고등학교에 취학중인 교육지원대상자(유공자 본인 및 자녀, 전몰?순직?사망?행불자의 배우자),대학에 취학중인 국가유공자(애국지사, 고엽제후유의증환자, 5.18민주유공자, 특수임무유공자,보훈보상대상자 포함)/- 중학생 124천원 - 고등학생 144~186천원 - 대학생 236천원 - 특수학교 534~718천원)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","돌봄지원"," ","교육복지우선 취약계층 지원사업","(취약계층 초,중,고등학생/사업학교에서 대상학생에게 교육과정과 연계한 학습,문화체험,심리정서,보육복지 등을 종합적으로 지원)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","건강지원"," ","여성청소년 생리용품 취약계층 지원","(기초생활보장급여(생계,의료,주거,교육) 수급자, 법정 차상위계층, 한부모가족 지원대상자 가구에 해당하는 9~24세 여성청소년을 대상/(지원내용) 생리용품을 구입할 수 있는 바우처 포인트를 월 14,000원 지원)","","","","","연령무관","육아 - 건강지원","서울시",".","."
"육아","건강지원"," ","암환자의료비 취약계층 지원","(만 18세 미만의 의료급여수급자 및 차상위 본인부담경감대상자 당연 선정, 건강보험가입자 중 환자가구의 소득 및 재산기준에 적합한 자는 추가 선정/지원기간 : 18세에 도달하는 연도까지/ 백혈병 : 최대 3,000만원까지 지원,백혈병 이외의 암종 : 최대 2,000만원까지 지원(단, 조혈모세포이식 시 3,000만원)/주민센터 신청)","","","","","연령무관","육아 - 건강지원","서울시",".","."
"육아","돌봄지원"," ","늘봄학교 취약계층 지원","(희망하는 초등학교 학생 누구나 가능/정규수업 전 아침, 정규수업 후 희망시간까지(최장 오후 8시)돌봄서비스를 제공)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","교육지원"," ","장애인스포츠강좌이용권 취약계층 지원","(만5세~69세 장애인 지원 단, 스포츠강좌이용권과 중복 지원 하지 않음/1인당 매월 11만원 범위 내의 스포츠강좌 수강료를 12개월간 지원)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","돌봄지원"," ","장애아가족 양육 지원","(18세 미만 중증장애 아동/1 가정 당 연 1,080시간 돌봄 서비스, 휴식지원프로그램)","","","","","연령무관","육아 - 돌봄지원","서울시",".","."
"출산","생활지원"," ","남성장애인 출산비용 지원","(출산한 배우자를 둔 남성장애인/남성장애인의 배우자 출산 시 태아 1인당 120만원 지원('24년부터 지원금 증액))","","","","관할 주민센터","연령무관","출산 - 생활지원","서울시",".","."
"출산","건강지원"," ","장애입양아동 의료비 지원","(입양특례법상 허가를 받은 입양기관에 의해 같은 법의 요건과 절차를 갖춰 장애 아동을 국내 입양한 가정,장애 아동 양육보조금 지급 대상자로 결정된 아동에 대해 만18세가 되는 날이 속한 달까지 지급/연간 260만 원 한도 내에서 본인이 부담한 진료 상담 재활 및 치료(심리치료 포함)에 소요되는 비용(급여 및 비급여 부분 포함))","","","","관할 주민센터","연령무관","출산 - 건강지원","서울시",".","."
"육아","교육지원"," ","국가보훈대상자 교육 및 학습보조비 지원","(중학교?고등학교 ?대학 그 밖에 이에 준하는 학교, 평생교육시설, 학점인정 교육훈련기관에 재학하는 유공자 본인, 전몰?순직?사망자의 배우자 및 그 자녀/입학금?수업료 및 기성회비(학교운영지원비 포함)를 면제하며, 학생회비등 자율적 경비는 본인부담/ㅇ 지급액(연간) - 중학생 124천원 - 고등학생 144~186천원 - 대학생 236천원 - 특수학교 534~718천원/지방보훈청 또는 보훈지청 온라인?방문 신청)","","","","국가보훈부","연령무관","육아 - 교육지원","서울시",".","."
"육아","교육지원"," ","방과후학교 자유수강권 취약계층 지원","(수급자,한부모가정,차상위대상자,중위소득 80~100% 이하/학생 1인당 연간 60만원 내외 방과후학교 수강료(강사료,도서구입비,재료구입비,수용비 포함) 지원/주민센터)","","","","교육부","연령무관","육아 - 교육지원","서울시",".","."
"육아","돌봄지원"," ","그밖의 연장형 보육료 등 취약계층 지원","(24시간 보육료는 부모가 야간에 경제활동에 종사하는 가정, 한부모 또는 조손가정 등의 아동으로 주간 보육도 이용하고 야간보육이 불가피하다고 판단되는 아동을 지원/야간연장보육료 일반아동: 시간당 4,000원, 장애아동: 시간당 5,000원/주민센터, 복지로 온라인 신청)통합문화이용권","","","","교육부","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","건강지원"," ","장애아동수당 지원","(18세 미만의 등록 장애인으로 국민기초생활보장수급자 및 차상위계층 지원/중증장애아동수당(중증장애인)지급액:국민기초생활보장 생계 또는 의료급여 수급자: 매월22만원,국민기초생활보장 주거 또는 교육급여 수급자 및 차상위계층: 매월17만원,보장시설수급자(생계,의료): 매월9만원  경증장애아동수당(경증장애인) 지급액:국민기초생활보장 생계 또는 의료급여 수급자: 매월11만원, 국민기초생활보장 주거 또는 교육급여 수급자 및 차상위계층: 매월11만원, 보장시설수급자(생계,의료): 매월3만원)","","","","보건복지부 장애인자립기반과","연령무관","육아 - 건강지원","서울시",".","."
"육아","교육지원"," ","한부모가족 자녀 교육비 지원","(한부모가족 지원법 지원 대상 가구의 고등학교 학생(교육급여 지급 대상자 제외)/ 고등학교 입학금 및 수업료 등)","","","","교육부 학생맞춤통합지원과","연령무관","육아 - 교육지원","서울시",".","."
"육아","건강지원"," ","어린이 불소 도포","불소도포 및 구강관리 서비스 제공","만 3~15세 아동","","","치과(자동적용)","연령무관","육아 - 건강지원","서울시",".","."
